score,clean_content,minimal_content,roberta_sentiment,sentiment,sentiment_bi
5,what amazing app,what amaze app,positive,2,1
5,I like that apps,i like that apps,positive,2,1
5,nice apo,nice apo,positive,2,1
1,Read correctly but write wrongly,read correctly but write wrongly,neutral,1,1
1,This is costly,this be costly,negative,0,0
5,Thought this application or no one doubt,thought this application or no one doubt,neutral,1,1
5,it is good for correct your problems that you have not noticed,it be good for correct your problem that you have not notice,neutral,1,1
4,Can we get free for study this app?,can we get free for study this app?,neutral,1,1
5,"This is a great app... For everyone who want to learn to speak in english, it'll make you be more fluent, no hesitate to speak, especially when you have no partner to practice with. Good job.","this be a great app. for everyone who want to learn to speak in english, it will make you be more fluent, no hesitate to speak, especially when you have no partner to practice with. good job.",positive,2,1
1,"This application is not finished, but I don't have","this application be not finished, but i do not have",negative,0,0
3,good will give 2.7,good will give 2. 7,positive,2,1
1,"No pay, no gain :)","no pay, no gain",neutral,1,1
5,HK very good,hk very good,positive,2,1
3,Difficult for beginners,difficult for beginner,neutral,1,1
5,super but paid app that is main problem,super but pay app that be main problem,negative,0,0
5,Suitable to learn,suitable to learn,neutral,1,1
3,The symbol of the App's IPA negative is much wrong compared to its Oald dictionary. We hope the developer of repair and update applications for the App is more complete.,the symbol of the apps ipa negative be much wrong compare to it be oald dictionary. we hope the developer of repair and update application for the app be more complete.,negative,0,0
1,"The dots are not accurate, bad","the dot be not accurate, bad",negative,0,0
3,"I tried it but downloaded the article for a long time. Practice speaking well, the pronunciation should be fixed, not to fix each part of the brick. I tried to say the wrong parts but still got excellent!","i try it but download the article for a long time. practice speak well, the pronunciation should be fixed, not to fix each part of the brick. i try to say the wrong part but still get excellent!",neutral,1,1
5,Good software!,good software!,positive,2,1
1,The version is limited too little lesson :(,the version be limit too little lesson,negative,0,0
5,it’s very gd for me...thank you elsa.. i hope It's very help for me,it s very gd for me. thank you elsa. i hope it be very help for me,positive,2,1
2,"Go slowly, just learn 1, 2 words have learned the whole sentence. One day only learned 2 words.","go slowly, just learn 1, 2 word have learn the whole sentence. one day only learn 2 words.",neutral,1,1
1,For testing I said felicious instead of delicious and the App said that you speak like a native speaker. How dumb is that 😑,for test i say felicious instead of delicious and the app say that you speak like a native speaker. how dumb be that 😑,negative,0,0
5,this learn app is so good different others app,this learn app be so good different others app,positive,2,1
5,The top software is too,the top software be too,neutral,1,1
1,When I downloaded this it says It's a free learning English app. But at present it shows pament issue.. That is why I don’t like this app...,when i download this it say it be a free learning english app. but at present it show pament issue. that be why i do not t like this app.,negative,0,0
4,I can log in with facebook and email.,i can log in with facebook and email.,neutral,1,1
5,Good for people who have privacy and pronunciation,good for people who have privacy and pronunciation,positive,2,1
5,It's really good apps... What I will get if I pay for one year subscription?,it be really good apps. what i will get if i pay for one year subscription?,positive,2,1
1,"After using only 1 day amongs 7 days free trial, i had uninstalled this app, but i don't know why it still take my money for using 1 year. I HAD Contacted Google Play for Refund, But They Say that this purchase (without my knowledge) Don't meet with their policy. I need you to know that I didN'T purchase this app and I want to be refressed. My Sincerely,","after use only 1 day amongs 7 day free trial, i have uninstalled this app, but i do not know why it still take my money for use 1 year. i have contact google play for refund, but they say that this purchase without my knowledge do not meet with their policy. i need you to know that i do not purchase this app and i want to be refressed. my sincerely,",negative,0,0
5,Vry good 😊 ☺️,vry good 😊 ☺,positive,2,1
4,"This app is very good, but there is a natural error I am studying, then it will be thrown out, please fix the app, admin","this app be very good, but there be a natural error i be studying, then it will be throw out, please fix the app, admin",negative,0,0
1,It is very helpful to improve your English,it be very helpful to improve your english,positive,2,1
2,"Error SML, first can not use now","error sml, first can not use now",negative,0,0
5,yea cool,yea cool,positive,2,1
1,"If you think it is free, it will cost you a fee","if you think it be free, it will cost you a fee",negative,0,0
1,"I cannot update the latest ESLA Pro. My account is an Elsa Pro account on Android for a lifetime, after I can't update, I deleted the app and reloaded, and then my account into a free account","i cannot update the late esla pro. my account be an elsa pro account on android for a lifetime, after i cannot update, i delete the app and reloaded, and then my account into a free account",negative,0,0
5,Very impressionive,very impressionive,neutral,1,1
5,The app is great to teach very carefully with many learning topics I really like,the app be great to teach very carefully with many learn topic i really like,positive,2,1
4,Perfect app 👍,perfect app 👍,positive,2,1
5,a good app for pronunciation,a good app for pronunciation,neutral,1,1
4,Why do you show the notice of failure when you open up,why do you show the notice of failure when you open up,negative,0,0
3,Slightly consuming when posted,slightly consume when post,neutral,1,1
5,I love elsa speak 🌷,i love elsa speak 🌷,positive,2,1
1,The application is not good,the application be not good,negative,0,0
5,extremely app.,extremely app.,neutral,1,1
5,"Elsa Speak Really Helped Me in My English Learning, I Felt Very Developed After Downloading this Application","elsa speak really help me in my english learning, i felt very develop after download this application",positive,2,1
5,Good app keep it going,good app keep it go,positive,2,1
1,"Many times the app that the app is not identifying the language of the speaker. Moreover, the examination of the dictionary via Elsa is different from Oald, without the word type and does not show all the meanings of the word (almost the meaning of the word is representative but quite vague)","many time the app that the app be not identify the language of the speaker. moreover, the examination of the dictionary via elsa be different from oald, without the word type and do not show all the meaning of the word almost the meaning of the word be representative but quite vague",negative,0,0
1,AI has a problem,ai have a problem,neutral,1,1
1,"Abasolutely useless. I am a fluent English speaker who wants to improve pronounciation, rather than learn English. No test to assess skill level, starts way too basic. I have 8.5 in IELTS Academic exam (with 9.0 in the Speaking component), yet this app assessed me to be 5.5. Completely laughable...","abasolutely useless. i be a fluent english speaker who want to improve pronounciation, rather than learn english. no test to assess skill level, start way too basic. i have 8. 5 in ielts academic exam with 9. 0 in the speaking component , yet this app assess me to be 5. 5. completely laughable.",negative,0,0
4,Very best and good app but. Do not talk hindi and very ads so 4star,very best and good app but. do not talk hindi and very ad so 4star,neutral,1,1
5,Application is useful for pronunciation,application be useful for pronunciation,neutral,1,1
5,"I find this application of English learning or graphic pronunciation, Elsa Speak is very beautiful and attractive","i find this application of english learning or graphic pronunciation, elsa speak be very beautiful and attractive",positive,2,1
3,okay,okay,neutral,1,1
5,good app for pronunciation for English,good app for pronunciation for english,neutral,1,1
5,"It's really helpful, and I enjoyed in this app 🥰","it be really helpful, and i enjoy in this app 🥰",positive,2,1
1,"First time rating 1 for 1 app. Just registered Pro, the app does not work anymore. Uninstall will lose the registered package. Bad!!","first time rating 1 for 1 app. just register pro, the app do not work anymore. uninstall will lose the registered package. bad!",negative,0,0
1,I've paid for the Pro subscription. And I see that my account is a free version! HELP!,i have pay for the pro subscription. and i see that my account be a free version! help!,neutral,1,1
5,I like this app too much because it clear all the spelling that we speak 🗣️ worng I want learn English speaking for this type of apps it is excellent ap,i like this app too much because it clear all the spell that we speak 🗣 worng i want learn english speaking for this type of apps it be excellent ap,positive,2,1
5,"I only learned during the experience of 7 days, but I felt very effective because I knew where I was wrong, which sound was not good. The best here is that when I pronounce Elsa, I will realize my voice and compare it to the native speakers, check myself how much of the word or that sentence and the editing of the yellow or red or red sounds and should read it again. At the same time, it also recorded my voice to listen and compare, the sound was very standard, clear and clear.","i only learn during the experience of 7 days, but i felt very effective because i know where i be wrong, which sound be not good. the best here be that when i pronounce elsa, i will realize my voice and compare it to the native speakers, check myself how much of the word or that sentence and the editing of the yellow or red or red sound and should read it again. at the same time, it also record my voice to listen and compare, the sound be very standard, clear and clear.",neutral,1,1
1,Error listening to the feeling of learning like the card is generally bad that lost the string of money upgraded to upgrade the account a lot,error listen to the feeling of learn like the card be generally bad that lose the string of money upgrade to upgrade the account a lot,negative,0,0
4,it really emphasise what should you do to make your pronunciation better,it really emphasise what should you do to make your pronunciation well,neutral,1,1
3,recomanded appl,recomanded appl,neutral,1,1
5,"I have no money, so I study some free lessons, it feels great.","i have no money, so i study some free lessons, it feel great.",positive,2,1
5,most probably the best learning apps in this Globe.,most probably the best learning apps in this globe.,positive,2,1
1,"Cancel registration is in the assessment is cancellation of the registration registration, do not answer anything more","cancel registration be in the assessment be cancellation of the registration registration, do not answer anything more",negative,0,0
5,Very good application 🤩,very good application 🤩,positive,2,1
4,"Great for practicing pronunciation, but might not be suitable for improving fluency. The desktop websites version of speech analyzer is better for the latter purpose.","great for practice pronunciation, but might not be suitable for improve fluency. the desktop websites version of speech analyzer be well for the latter purpose.",negative,0,0
1,"I read the word How, what is wrong?","i read the word how, what be wrong?",neutral,1,1
5,Very Exciting!,very exciting!,positive,2,1
4,"good complete than the green bird, but the syg is a daily limit cm can be 5x bljr, must pay dearly wak","good complete than the green bird, but the syg be a daily limit cm can be 5x bljr, must pay dearly wak",negative,0,0
5,very good learning application mn,very good learning application mn,positive,2,1
3,"I can't download the lesson, the app constantly report an error. ""Download the failed content, you have want to try again ""","i cannot download the lesson, the app constantly report an error. ""download the failed content, you have want to try again """,negative,0,0
5,Jadan in learning,jadan in learn,neutral,1,1
1,We have to pay fees,we have to pay fee,neutral,1,1
5,Very cool I recommend downloading,very cool i recommend download,positive,2,1
5,amazing I love this app,amaze i love this app,positive,2,1
1,it's very good for improving pronunciation,it be very good for improve pronunciation,positive,2,1
5,I am in the fourth grade. The application taught me English,i be in the fourth grade. the application teach me english,neutral,1,1
4,It's good but it's not convenient in IPAD,it be good but it be not convenient in ipad,neutral,1,1
4,"Elsa Speak is very happy, but when reading it will let the word start to read the word so it is not toxic to expect the manufacturer to review","elsa speak be very happy, but when read it will let the word start to read the word so it be not toxic to expect the manufacturer to review",neutral,1,1
5,wounderfull,wounderfull,negative,0,0
1,It says that I've completed the free lessons from today but I haven't done any lesson today! The app sucks a lot,it say that i have complete the free lesson from today but i have not do any lesson today! the app suck a lot,negative,0,0
5,i really like this app it's good,i really like this app it be good,positive,2,1
5,"At first, I did not believe it, but there was an English download interview and successfully had a job thank you Elsa","at first, i do not believe it, but there be an english download interview and successfully have a job thank you elsa",neutral,1,1
1,I have tried it many times it is not working.,i have try it many time it be not working.,negative,0,0
1,please add more content for free of use,please add more content for free of use,neutral,1,1
1,This is finanstic app i can get more information about this app about English it's such a great app,this be finanstic app i can get more information about this app about english it be such a great app,positive,2,1
5,Good but can't use huhuhuu,good but cannot use huhuhuu,negative,0,0
5,Its so good for learning english,it be so good for learn english,positive,2,1
5,"Before I pronounced English, it was not standard and in the tests, my hearing was not good. After downloading this app to it, it will make me progress. Thanks a lot!!","before i pronounce english, it be not standard and in the tests, my hearing be not good. after download this app to it, it will make me progress. thanks a lot!",neutral,1,1
3,"Elsa AI is slow and buggy...sometimes it takes too long to respond and sometimes, it doesn't respond at all.","elsa ai be slow and buggy. sometimes it take too long to respond and sometimes, it do not respond at all.",negative,0,0
5,tasty,tasty,neutral,1,1
5,The app is very good. NS helps T improve the way of reading & improving vocabulary,the app be very good. n help t improve the way of read & improve vocabulary,positive,2,1
5,very useful and fantastic app for beginners,very useful and fantastic app for beginner,positive,2,1
5,excellent 💯 👍,excellent 💯 👍,positive,2,1
5,Thank you so much for wonderful customer service. I started to enjoy english speaking with Elsa Pro,thank you so much for wonderful customer service. i start to enjoy english speaking with elsa pro,positive,2,1
4,I think Elsa's dictionary needs more meaning to be more convenient,i think elsas dictionary need more meaning to be more convenient,neutral,1,1
5,Wow! It's great 💯,wow! it be great 💯,positive,2,1
5,I'm happy I discovered Elsa speaks hopefully to achieve my goal of speaking fluently in English,i be happy i discover elsa speaks hopefully to achieve my goal of speak fluently in english,positive,2,1
5,Education is very,education be very,neutral,1,1
3,good app for practice speaking but there's some bug,good app for practice speaking but there be some bug,negative,0,0
5,good and best for learning and speaking practice 🙂,good and best for learning and speaking practice 🙂,positive,2,1
5,Can I pay?,can i pay?,neutral,1,1
3,Why can't I log in? I bought the permanent version,why cannot i log in? i buy the permanent version,neutral,1,1
5,OK is very good. But pay.,ok be very good. but pay.,neutral,1,1
1,"7 days for free, but every day it lost money","7 day for free, but every day it lose money",negative,0,0
5,Ok i think my english will improve thank to this app,ok i think my english will improve thank to this app,positive,2,1
1,This app rejects some sounds or cuts the recording. I didn't improve my English using this app.,this app reject some sound or cut the recording. i do not improve my english use this app.,negative,0,0
1,"Why does his writing ""Did You Reading the Phrase? Please try again"" like that. Is this a bug?","why do his writing ""did you read the phrase? please try again"" like that. be this a bug?",negative,0,0
1,It is not satisfied with entry from Facebook or mile,it be not satisfy with entry from facebook or mile,neutral,1,1
4,Is it possible for free?,be it possible for free?,neutral,1,1
5,i am perfect speak english to this app,i be perfect speak english to this app,neutral,1,1
2,Please add korean display support. Will change to 5 stars,please add korean display support. will change to 5 star,neutral,1,1
5,The Elsa is one of the programme that braught alot of changes in my speaking.,the elsa be one of the programme that braught alot of change in my speaking.,neutral,1,1
5,its really better' learning app,it be really well learn app,positive,2,1
3,Their is no kannada language to learn,their be no kannada language to learn,negative,0,0
5,Very useful father.!,very useful father. !,positive,2,1
5,It is like really really good! I must say. I feel like there's a virtual American teacher sitting besides me and guiding and correcting me on my pronunciations. It's an amazing app. It has made my accent a lot better. Thank you for guiding Elsa! :),it be like really really good! i must say. i feel like there be a virtual american teacher sit besides me and guide and correct me on my pronunciations. it be an amazing app. it have make my accent a lot better. thank you for guide elsa!,positive,2,1
5,The application is very good to practice pronunciation.,the application be very good to practice pronunciation.,positive,2,1
4,It s not easy ...,it s not easy.,negative,0,0
1,Previous version was awesome for free users.. I'm now going to uninstall .. Elsa. That used to helped me for pronunciation of any word but now I'm not able . Only for readers. But guys If you want best version of elsa for free user it is 5.7.0 Goto apkmirror and download the one.,previous version be awesome for free users. i be now go to uninstall. elsa. that use to help me for pronunciation of any word but now i be not able. only for readers. but guy if you want best version of elsa for free user it be 5. 7. 0 goto apkmirror and download the one.,neutral,1,1
5,10 points for quality,10 point for quality,neutral,1,1
1,"Free spending, don't buy money. The app is also good, but the method of calculating the disturbance, the paragraph for many words such as ""yeah"", ""yup"", ""huh"" is completely meaningless but the score is quite harsh, causing inhibition at school. Do not buy Pro packages.","free spending, do not buy money. the app be also good, but the method of calculate the disturbance, the paragraph for many word such as ""yeah"", ""yup"", ""huh"" be completely meaningless but the score be quite harsh, cause inhibition at school. do not buy pro packages.",negative,0,0
5,Good alternative to speak fluent English,good alternative to speak fluent english,neutral,1,1
4,"Everything is perfect except I would like to have something like anki repetition system. The less I do mistakes in some word then I want to see it less in my tasks and more often in the opposite case. Also in task ""what sound you hear?"" it's better to use different voices for question and answer","everything be perfect except i would like to have something like anki repetition system. the less i do mistake in some word then i want to see it less in my task and more often in the opposite case. also in task ""what sound you hear? "" it be well to use different voice for question and answer",neutral,1,1
4,:)) Read the machine but only NS is close to the boat,read the machine but only ns be close to the boat,neutral,1,1
5,Thanks you,thanks you,positive,2,1
5,"Convenient to use, support for detecting good errors","convenient to use, support for detect good error",positive,2,1
1,It has a lot of problem recognizing voice properly. It wasn't like that before. The amount of money I paid for it is big hope they can fix it.,it have a lot of problem recognize voice properly. it be not like that before. the amount of money i pay for it be big hope they can fix it.,negative,0,0
5,Absolutely Wonderful App.Thank You Elsa 😊,absolutely wonderful app. thank you elsa 😊,positive,2,1
5,Perfect App for a beginner to learn English and become an expert..,perfect app for a beginner to learn english and become an expert.,positive,2,1
5,"It's best app to learn English, I love it","it be best app to learn english, i love it",positive,2,1
1,"It's better not to make a lot of bugs and ugly applications like this, the network is okay but it can't be opened a lot of bugs and loading it takes a long time if I can put it in 😡 😤","it be well not to make a lot of bug and ugly application like this, the network be okay but it cannot be open a lot of bug and load it take a long time if i can put it in 😡 😤",negative,0,0
3,The tuition is a bit high,the tuition be a bit high,neutral,1,1
5,Learning through Elsa is very interesting and not boring,learn through elsa be very interesting and not boring,positive,2,1
5,very good and very helpful for beginners who want to learn to speak English,very good and very helpful for beginner who want to learn to speak english,positive,2,1
4,"The software is quite interesting because I am a fan of Dan. However, many words pronunciation dozens of times not standard? Do I or for software or for some reason? Very consideration to buy the product. Perhaps the software is relying on Dan promoting a lot?","the software be quite interesting because i be a fan of dan. however, many word pronunciation dozen of time not standard? do i or for software or for some reason? very consideration to buy the product. perhaps the software be rely on dan promote a lot?",positive,2,1
5,Application or 😊,application or 😊,neutral,1,1
5,great day,great day,positive,2,1
5,Recruit,recruit,neutral,1,1
5,But I was unwilling to pay,but i be unwilling to pay,negative,0,0
5,"""Elsa Speak'' is a nice app for learning English fluently.","""elsa speak be a nice app for learn english fluently.",positive,2,1
1,Read again and again and still tell me not to hear it clearly,read again and again and still tell me not to hear it clearly,negative,0,0
5,very good l love it alot,very good l love it alot,positive,2,1
5,got,get,neutral,1,1
5,Very nice. My English knowledge is very low but I learned lot of using this,very nice. my english knowledge be very low but i learn lot of use this,positive,2,1
5,"Sometimes not yet standard, encourage 5*","sometimes not yet standard, encourage 5",neutral,1,1
5,Excellent way to learn spoken English for anyone with basic knowledge of English language.,excellent way to learn spoken english for anyone with basic knowledge of english language.,positive,2,1
5,A very good option to learn English 😎,a very good option to learn english 😎,positive,2,1
5,it's amazing app thanks I can't explain it with words,it be amazing app thanks i cannot explain it with word,positive,2,1
5,Who came here with Mr. Dan?,who come here with mr. dan?,neutral,1,1
1,"If you have money, download it and use it, If you don't have money, don't download it. This is my advice dude 🫡","if you have money, download it and use it, if you do not have money, do not download it. this be my advice dude 🫡",neutral,1,1
1,It is really good app for learning,it be really good app for learn,positive,2,1
1,Because I'm confused using it,because i be confuse use it,negative,0,0
5,"It's an amazing app!! It's so useful for who wants to make better his/her speaking and prepare for international exams like IELTS, but I think it should be free in general!!","it be an amazing app! it be so useful for who want to make good his/her speaking and prepare for international exam like ielts, but i think it should be free in general!",positive,2,1
5,Very great 🤬 🤬 🤬 🤬,very great 🤬 🤬 🤬 🤬,negative,0,0
5,Extremely encourage people to use to correct pronunciation errors.,extremely encourage people to use to correct pronunciation errors.,neutral,1,1
5,Because of Mr. Denisio Perez became installed this application and also very petrified,because of mr. denisio perez become installed this application and also very petrified,negative,0,0
1,Horrible American accent. Will make you sound like an idiot. Uninstall.,horrible american accent. will make you sound like an idiot. uninstall.,negative,0,0
5,It helps me to improve my english pronunciation It was so useful app,it help me to improve my english pronunciation it be so useful app,positive,2,1
4,"OK, but this app is not suitable for new friends, should use this app when you have spoken basic, this app type enhances your English more than teaching you to learn English","ok, but this app be not suitable for new friends, should use this app when you have speak basic, this app type enhance your english more than teach you to learn english",negative,0,0
5,I'm learning about yet. But looks nice,i be learn about yet. but look nice,neutral,1,1
5,good for speaking and thinking for new words...good for my little daughter,good for speaking and think for new words. good for my little daughter,positive,2,1
4,"sometimes misleading. I ask my my untrained baby to speak and it says excellent, though her voice is not very clear.","sometimes misleading. i ask my my untrained baby to speak and it say excellent, though her voice be not very clear.",neutral,1,1
5,Easy to learn and interesting,easy to learn and interest,positive,2,1
4,I cannot sync my Android smartphone and iPhone,i cannot sync my android smartphone and iphone,negative,0,0
5,easy for practice,easy for practice,neutral,1,1
5,Do you have offline elsa software due to my location is not good enough internet?,do you have offline elsa software due to my location be not good enough internet?,negative,0,0
5,Yah is quite good and very good to use a lot of Yahh,yah be quite good and very good to use a lot of yahh,positive,2,1
5,I need to buy it but for me i live in Egypt in the middle east is too expensive please send me a gift voucher thank for your help,i need to buy it but for me i live in egypt in the middle east be too expensive please send me a gift voucher thank for your help,neutral,1,1
3,"Um, I'm having an issue with the recording for the /th/ sound. The app doesn't seem to recognise my /th/ pronunciation as I've tried practising the sound over and over again. I believe that I might have got it correct on some occasions, but when I play the recording it seems to be a bit fuzzy. I think this is the reason for this issue, just unsure whether this is a hardware or software problem. Can the developers look into this? P.S. This app is brilliant overall, especially because it helps you identify weak areas in your pronunciation.","um, i be have an issue with the recording for the /th/ sound. the app do not seem to recognise my /th/ pronunciation as i have try practise the sound over and over again. i believe that i might have get it correct on some occasions, but when i play the recording it seem to be a bit fuzzy. i think this be the reason for this issue, just unsure whether this be a hardware or software problem. can the developer look into this? p. s. this app be brilliant overall, especially because it help you identify weak area in your pronunciation.",negative,0,0
1,What is the app how to download it. I can't learn it. A few days ago,what be the app how to download it. i cannot learn it. a few day ago,negative,0,0
5,Good app to practice pronunciation and vocabulary,good app to practice pronunciation and vocabulary,positive,2,1
1,I can't access to it...,i cannot access to it.,negative,0,0
5,really fun and helpful!! 🤩 🤩,really fun and helpful! 🤩 🤩,positive,2,1
1,"Very rarely evaluate but actually inhibit it so we have to evaluate this. Initially, the application was available for IELTS learning route with 3 parts, I found the voltage stabilizer so I bought it. But now the update is finished and added a few new locks, but lost more money to buy and delete the old lock. Really regretted spending money to buy. There is no mind, blood suction is good. Not to mention the instructions that do not have Vietnamese subtitles, I am learning, so I understand, but I lost my roots to study on this application, which is sure to waste money!","very rarely evaluate but actually inhibit it so we have to evaluate this. initially, the application be available for ielts learn route with 3 parts, i find the voltage stabilizer so i buy it. but now the update be finish and add a few new locks, but lose more money to buy and delete the old lock. really regret spend money to buy. there be no mind, blood suction be good. not to mention the instruction that do not have vietnamese subtitles, i be learning, so i understand, but i lose my root to study on this application, which be sure to waste money!",negative,0,0
5,very much good app,very much good app,positive,2,1
5,very super,very super,positive,2,1
5,Very good. But it's so hard,very good. but it be so hard,neutral,1,1
5,Nice beautiful,nice beautiful,positive,2,1
4,it do help to improve my skill,it do help to improve my skill,positive,2,1
4,Good but the price is expensive,good but the price be expensive,negative,0,0
3,"Before I use free. After that, I bought a package for 1 year, but when I logged out, logged back to the UAY back to your free account and lost all my learning schedule. Find a hotline to call for feedback without seeing. Looking forward to the app to help me","before i use free. after that, i buy a package for 1 year, but when i log out, log back to the uay back to your free account and lose all my learning schedule. find a hotline to call for feedback without seeing. look forward to the app to help me",neutral,1,1
3,"Why not limit type 3 devices with hours of use more than 24 hours or more. Doing like this is too disadvantaged for the buying packages like me. Just finished installing for a few days, the phone is broken, limited like this, it is better to buy a package for 1 year to finish.","why not limit type 3 device with hour of use more than 24 hour or more. do like this be too disadvantage for the buying package like me. just finish instal for a few days, the phone be broken, limit like this, it be well to buy a package for 1 year to finish.",negative,0,0
5,It is a good learning app,it be a good learning app,positive,2,1
5,awesome apps for learning English,awesome apps for learn english,positive,2,1
5,Great. You should use this application ❤,great. you should use this application ❤,positive,2,1
4,Useful and Vietnamese customized..,useful and vietnamese customized.,negative,0,0
5,1000000 points because it is too happy,1000000 point because it be too happy,neutral,1,1
4,Very nice experience,very nice experience,positive,2,1
1,Just make people buy pro,just make people buy pro,neutral,1,1
5,It's just good,it be just good,positive,2,1
5,It's awesome but it should be free of cost as there are many people who can't afford,it be awesome but it should be free of cost as there be many people who cannot afford,neutral,1,1
5,w app,w app,neutral,1,1
5,"I would like you to add payment system besides PayPal. Even though we want to use purchased version, PayPal doesn't work in our region.","i would like you to add payment system besides paypal. even though we want to use purchased version, paypal do not work in our region.",negative,0,0
5,Terrible,terrible,negative,0,0
4,It would be nice to have pronunciation tips in UK Ipa also (e.g i: as long I and I as short I) as we have learnt UK IPA.,it would be nice to have pronunciation tip in uk ipa also e. g i as long i and i as short i as we have learn uk ipa.,neutral,1,1
5,Very good but there are unclear pronunciation,very good but there be unclear pronunciation,neutral,1,1
1,Every time I go to the app is waiting to be tired even though buying a Pro package but not in to learn,every time i go to the app be wait to be tire even though buy a pro package but not in to learn,neutral,1,1
5,I have a big problem with my pronunciation. I believe that your app will help me a lot,i have a big problem with my pronunciation. i believe that your app will help me a lot,negative,0,0
5,"Applications should have information about the learning process, how many lessons every day, how many % pronunciation, how much the target set will be better than the learning time.","application should have information about the learning process, how many lesson every day, how many % pronunciation, how much the target set will be good than the learning time.",neutral,1,1
1,I can't sign up !!,i cannot sign up!,negative,0,0
5,Well. This app iso very useful at least or me,well. this app iso very useful at least or me,positive,2,1
1,"From last 2 week, every time i try to login in this app, it's ahows something wrong and crashed the app, i don't what's wrong with it, but it is frustrating.","from last 2 week, every time i try to login in this app, it be ahows something wrong and crash the app, i do not what be wrong with it, but it be frustrating.",negative,0,0
3,Can't download it but evaluate it really,cannot download it but evaluate it really,neutral,1,1
5,I just loved it... It helps me improve my English accent,i just love it. it help me improve my english accent,positive,2,1
5,You are awesome~,you be awesome,positive,2,1
5,Good use should be tried,good use should be try,neutral,1,1
1,i know this is all lie or scam..but i don't care only i want is learn english..hahahahhahahahaha,i know this be all lie or scam. but i do not care only i want be learn english. hahahahhahahahaha,negative,0,0
5,can you make my spoken English good,can you make my spoken english good,neutral,1,1
1,Can't make friends,cannot make friend,neutral,1,1
5,I like this application it's Very good,i like this application it be very good,positive,2,1
2,"After buying, Elsa no longer recorded and heard anything anymore, just finished talking again, then did not hear anything, what was the top application that was so strange","after buying, elsa no longer record and hear anything anymore, just finish talk again, then do not hear anything, what be the top application that be so strange",negative,0,0
5,Is a good way to improve your pronunciation. Even could be frustrating because the exigencies.,be a good way to improve your pronunciation. even could be frustrate because the exigencies.,neutral,1,1
3,Wait a minute,wait a minute,neutral,1,1
5,This is very good!,this be very good!,positive,2,1
3,You need to add an option to increase the font's size in dialogues or create a desktop version.,you need to add an option to increase the font size in dialogue or create a desktop version.,neutral,1,1
5,Very effective. I am really happy with it!,very effective. i be really happy with it!,positive,2,1
1,"I am very sorry for you to delete the app, because I am saving money for my parents so I can't continue to learn anymore, sorry huhu","i be very sorry for you to delete the app, because i be save money for my parent so i cannot continue to learn anymore, sorry huhu",negative,0,0
5,"nice app, it helps me speak well.","nice app, it help me speak well.",positive,2,1
5,"The app is great and my pronunciation has improved a lot during last 2 months. I can say It's the most innovative and useful English learning app I've ever experienced. I wonder how we can access to our full practice history. At the end of 2020 I received an Email showing my whole practice time during the year. It would be nice if we had access to these figures every time we want. Thank you :) Edit: Thank you for adding learning history part, you are number 1 🥇 😻","the app be great and my pronunciation have improve a lot during last 2 months. i can say it be the most innovative and useful english learning app i have ever experienced. i wonder how we can access to our full practice history. at the end of 2020 i receive an email show my whole practice time during the year. it would be nice if we have access to these figure every time we want. thank you edit thank you for add learn history part, you be number 1 🥇 😻",positive,2,1
5,coll English,coll english,neutral,1,1
2,"The translation of each word load is too slow, the internet has worked normally","the translation of each word load be too slow, the internet have work normally",negative,0,0
4,I think that app doesn't take its real value,i think that app do not take it be real value,negative,0,0
1,"The app that dot the voice that just reported not to be obtained, then create the app to do. Waste.","the app that dot the voice that just report not to be obtained, then create the app to do. waste.",negative,0,0
5,Help me learn English,help me learn english,neutral,1,1
3,"It is quite useful because the lesson limit is too much, learners may be mostly students and will not have money to pay and then have lessons. As for Elsa, talking to learners in the form of messages that need to be pronounced in advance to learn the learners and let the learners speak later. It is necessary to add more pronunciation tips and some words that do not translate into the original language of learners make the vocabulary acquisition will be harder! Hope to fix those 3 points sir!","it be quite useful because the lesson limit be too much, learner may be mostly student and will not have money to pay and then have lessons. as for elsa, talk to learner in the form of message that need to be pronounce in advance to learn the learner and let the learner speak later. it be necessary to add more pronunciation tip and some word that do not translate into the original language of learner make the vocabulary acquisition will be harder! hope to fix those 3 point sir!",neutral,1,1
5,Im happy cos i can say words correctly and spell them very well. Such awesome app,i be happy co i can say word correctly and spell them very well. such awesome app,positive,2,1
5,very easy foe beginner learn english,very easy foe beginner learn english,positive,2,1
5,This app is great and really can fill the empty space of a training class or a training aid for those who study by themselves.,this app be great and really can fill the empty space of a training class or a training aid for those who study by themselves.,positive,2,1
5,"a few times even though I read it correctly, it doesn't count, right in the intonation","a few time even though i read it correctly, it do not count, right in the intonation",negative,0,0
5,this app,this app,negative,0,0
5,It 's Fantastic. I Hope It Can Help Me To Speak English Better.,it s fantastic. i hope it can help me to speak english better.,positive,2,1
5,How are,how be,neutral,1,1
5,nice way for learning English,nice way for learn english,positive,2,1
5,a great Speaking English practice App,a great speaking english practice app,positive,2,1
4,"Popular Vietnamese food is faulty, cannot be downloaded. Thanks to the error repair team. Thank.","popular vietnamese food be faulty, cannot be downloaded. thanks to the error repair team. thank.",negative,0,0
1,I can't delete my account.,i cannot delete my account.,negative,0,0
1,What the hell is this,what the hell be this,negative,0,0
5,Study very well and effectively,study very well and effectively,positive,2,1
