score,clean_content,minimal_content,roberta_sentiment
3,"I really love this app ns I wanna improve mu English skills but there is something wrong in this app whenever I am opening it, it is showing that try again I uninstalled the app nd downloaded again but the same problem is there plz fix it l.","i really love this app n i want to improve mu english skill but there be something wrong in this app whenever i be open it, it be show that try again i uninstalled the app nd download again but the same problem be there plz fix it l.",negative
5,This app is great for learn english pronunciton,this app be great for learn english pronunciton,positive
4,A lot of time it is not getting the pronunciation correctly. Same pronunciations are getting labeled wrong ang right at different occasions. Should be improved.,a lot of time it be not get the pronunciation correctly. same pronunciation be get label wrong ang right at different occasions. should be improved.,negative
3,It can'trecord my voice clearly,it cantrecord my voice clearly,negative
1,"Reading the whole session that could not be read, for the reader and the newspaper could not read the reader for 28%","read the whole session that could not be read, for the reader and the newspaper could not read the reader for 28%",negative
1,Doesn't help.,do not help.,negative
5,ITS A VERY PREVIOUS APP FOR ME,it be a very previous app for me,neutral
5,nice app for learning a good pronunciation,nice app for learn a good pronunciation,positive
5,Very good experience as far as I have used,very good experience as far as i have use,positive
5,It's just good,it be just good,positive
5,The first app for English i found love it ♥️,the first app for english i find love it ♥,positive
1,Every time he want premium.,every time he want premium.,neutral
5,Very good and useful ❤,very good and useful ❤,positive
5,very uesfull,very uesfull,neutral
2,"i cant believe that this wonderful app actually removed the feature ""voice"" in the dictionary","i cannot believe that this wonderful app actually remove the feature ""voice"" in the dictionary",negative
4,Study well. But sometimes operating on the app for a slow feedback.,study well. but sometimes operate on the app for a slow feedback.,neutral
5,"Best way to learn how to pronounce correctly, and affordable","best way to learn how to pronounce correctly, and affordable",neutral
1,"Why do you not add native speaking language section ""Marathi"" option.","why do you not add native speaking language section ""marathi"" option.",negative
5,"nice, still lacking of IELTS practice","nice, still lack of ielts practice",neutral
1,It is clearly mentioned that subscription will not be auto renewed but they are kept on deducting amount from my bank account. Also there is no option available to un subscribe this app,it be clearly mention that subscription will not be auto renew but they be keep on deduct amount from my bank account. also there be no option available to un subscribe this app,negative
5,AE Rtd,ae rtd,neutral
1,"Kazzab, any word that tells it right, even if it is wrong","kazzab, any word that tell it right, even if it be wrong",neutral
1,i just wanted to creat a guest session but it says filed so i can't use this app i need help i don't know what to do! 😡,i just want to creat a guest session but it say file so i cannot use this app i need help i do not know what to do! 😡,negative
5,"Please download it, waste it","please download it, waste it",negative
5,Application or useful,application or useful,neutral
5,it's a really nice app,it be a really nice app,positive
5,thanks Elsa you helping me a lot,thanks elsa you help me a lot,positive
1,I don't understand the article very much.,i do not understand the article very much.,negative
5,Good for practice speaking by yourself,good for practice speaking by yourself,neutral
5,"Beautiful, but a specific stage, and the rest is not free","beautiful, but a specific stage, and the rest be not free",neutral
1,it is 👎 👎 Not good,it be 👎 👎 not good,negative
5,"I really love this ELSA app, I improved my pronunciation with the help with this app. But this new update, no more free anymore we need to purchase a premium version. 🥺 😭","i really love this elsa app, i improve my pronunciation with the help with this app. but this new update, no more free anymore we need to purchase a premium version. 🥺 😭",positive
5,it is very well.and every learner can learn every time .,it be very well. and every learner can learn every time.,positive
5,"Owsome but the problem is that I am not able to subscribe for the Elsa pro subscription. ..debit card ,Google pay not supported ..and net banking only limited banks are under options","owsome but the problem be that i be not able to subscribe for the elsa pro subscription. . debit card, google pay not supported. and net banking only limited bank be under option",negative
1,"I presume it used to be good, because I've heard about the app, but seems not anymore. User interface is obsolete, heavy and not intuitive. The whole app now is a money begger aggressively forcing to create an account without showing any particular benefit. Obviously I'd like to have a go before buying a product, Instead I see a bunch of registration forms.","i presume it use to be good, because i have hear about the app, but seem not anymore. user interface be obsolete, heavy and not intuitive. the whole app now be a money begger aggressively force to create an account without show any particular benefit. obviously i would like to have a go before buy a product, instead i see a bunch of registration forms.",negative
5,perfect app it improves ....but it still lacks something,perfect app it improves. but it still lack something,neutral
5,"i am new in this app but,i think this app is good","i be new in this app but, i think this app be good",positive
5,good one .... helpfull,good one. helpfull,positive
5,Now my English was nicely done,now my english be nicely do,neutral
5,"This app is amazing, helped me out and get a chance to see real quick improvement","this app be amazing, help me out and get a chance to see real quick improvement",positive
3,"The reading experience is sometimes very inhibited without reading, the interface is not really simple and friendly with new people","the reading experience be sometimes very inhibited without reading, the interface be not really simple and friendly with new people",negative
3,nice try on this app,nice try on this app,positive
5,Need to save lesson results,need to save lesson result,neutral
5,very useful to learn speak English,very useful to learn speak english,positive
5,delightful application ................ This app should be in everyone's phone who wants to learn and speak English. I think there cannot be a better application to learn English on play store.,delightful application. this app should be in everyones phone who want to learn and speak english. i think there cannot be a good application to learn english on play store.,negative
4,its slow but it pic sound very well,it be slow but it pic sound very well,neutral
5,"Good, but in the dictionary, there is no stress when checking","good, but in the dictionary, there be no stress when checking",neutral
5,"Help me pronounce better English, some of my friends also call me ns like the native speakers","help me pronounce well english, some of my friend also call me n like the native speaker",neutral
4,Good for begging...,good for begging.,negative
1,"The application is not suitable for me, sending me the way to automatically renew Elsa Speak","the application be not suitable for me, send me the way to automatically renew elsa speak",negative
4,OK phet,ok phet,neutral
1,The heavy chiu suffers,the heavy chiu suffers,negative
5,The application is very wonderful and deserves more than five stars,the application be very wonderful and deserve more than five star,positive
2,"not good at all,, because this app is not free","not good at all, because this app be not free",negative
5,"pretty cool, they made that learning English looks like a game, literally","pretty cool, they make that learn english look like a game, literally",positive
5,"I have some Ideas 1) It would be Great If there is more picture for the vocabularies. It not only Help Easier to Remember the word but also make us more information to image the words we don't know in our mind. 2) More Important, I Really Need the Vocabulary's Mean in the Hearing..or Speaking Too. It'd be Useless If We Could Talk Right But Don't know what we just talk about? And Just Don't Show The Word's Mean in someone Button, show it right next to the word Please! 3) How About Learning On Lockscreen?","i have some idea 1 it would be great if there be more picture for the vocabularies. it not only help easy to remember the word but also make u more information to image the word we do not know in our mind. 2 more important, i really need the vocabularys mean in the hearing. or speak too. it would be useless if we could talk right but do not know what we just talk about? and just do not show the word mean in someone button, show it right next to the word please! 3 how about learn on lockscreen?",neutral
5,"A beautiful program, I thank those who designed it","a beautiful program, i thank those who design it",positive
5,Download,download,neutral
5,"Simple, easy e effective","simple, easy e effective",neutral
3,"At first it was okay, from the time of buying the paid version, the full error did not calculate the point even though the network was still rumbling. Need 1 explanation","at first it be okay, from the time of buy the pay version, the full error do not calculate the point even though the network be still rumbling. need 1 explanation",neutral
1,Very bad service. Forcing to take money,very bad service. force to take money,negative
5,great app to boost speaking skills,great app to boost speaking skill,positive
5,"steady to learn, what else is klaok geratis","steady to learn, what else be klaok geratis",neutral
5,Very good cool little I can speak English even though there is still something wrong when I speak English 😉,very good cool little i can speak english even though there be still something wrong when i speak english 😉,positive
3,"The initial use of AI application response is very good. After 3 months of use, the application response when hearing speaking is often not response / delay, so it is very annoying & waste my time. Disappointing even though using premium 😏","the initial use of ai application response be very good. after 3 month of use, the application response when hear speaking be often not response / delay, so it be very annoying & waste my time. disappoint even though use premium 😏",negative
1,My computer was shocked continuously,my computer be shock continuously,negative
1,Here is all difficult to download and delete immediately,here be all difficult to download and delete immediately,negative
1,"People, be careful with this application. ELSA charged me twice. During the trial period I used a proposition to buy the subscription with 50% discount, but on the day when my free trail was finished, ELSA charged me second time with full 100% price. Now I have 2 subscriptions to ELSA in my google subscription. When I tried to cancel the second subscription, I got a message that in accordance to ELSA's policy ""no refund will be issued"" it means that ELSA isn't going to return my money back.","people, be careful with this application. elsa charge me twice. during the trial period i use a proposition to buy the subscription with 50% discount, but on the day when my free trail be finished, elsa charge me second time with full 100% price. now i have 2 subscription to elsa in my google subscription. when i try to cancel the second subscription, i get a message that in accordance to elsas policy ""no refund will be issued"" it mean that elsa be not go to return my money back.",negative
2,some good,some good,positive
4,It's too cool and amazing app 👍🏻 👍🏻 👍🏻 👍🏻 😍 😜,it be too cool and amazing app 👍 👍 👍 👍 😍 😜,positive
5,best application for learning to speak English,best application for learn to speak english,neutral
5,it helps me to improve my pronunciation,it help me to improve my pronunciation,positive
5,I used to try and very lame pants,i use to try and very lame pant,negative
5,"really nice application, I just started using it and I'm liking it","really nice application, i just start use it and i be like it",positive
1,Good but only deaf 😒 😒 😒,good but only deaf 😒 😒 😒,negative
5,"I don't know, try","i do not know, try",neutral
5,"it's amazing 😍 😍 😍, I love this app","it be amazing 😍 😍 😍, i love this app",positive
1,Not worth enough the subscription model,not worth enough the subscription model,negative
1,A paid program came out ... any words,a paid program come out. any word,neutral
5,"Overall I love the app. It help me that don't speak native english. But developer should fix the ""v"" sound though, i think something not right there. Been speaking word ""believe"" for 10 time but the ""v"" word always red and never correct.","overall i love the app. it help me that do not speak native english. but developer should fix the ""v"" sound though, i think something not right there. be speak word ""believe"" for 10 time but the ""v"" word always red and never correct.",positive
5,"Only pronunciation, and fix very well","only pronunciation, and fix very well",neutral
2,Waste money,waste money,negative
5,It's amazing I'm feeling happy with you about everything 🥰,it be amaze i be feel happy with you about everything 🥰,positive
5,Nice one. But no time to practices anymore,nice one. but no time to practice anymore,neutral
5,this app is usefull to learn English,this app be usefull to learn english,neutral
3,"This doesn't do anything. At first it showed that all of my pronunciations were perfect. As I moved on to the higher levels, it often shows a pop up saying I mispronounced something even before I say it out loud.","this do not do anything. at first it show that all of my pronunciation be perfect. as i move on to the high levels, it often show a pop up say i mispronounce something even before i say it out loud.",negative
5,Just studied the first few lessons.,just study the first few lessons.,neutral
5,Very nice. My English knowledge is very low but I learned lot of using this,very nice. my english knowledge be very low but i learn lot of use this,positive
1,Buy an account that has a lum lum. I can't be studied.,buy an account that have a lum lum. i cannot be studied.,negative
2,It' premium. First give your details to this app and after that they will tell you that it is premium. Not a good app.,it premium. first give your detail to this app and after that they will tell you that it be premium. not a good app.,negative
1,When choosing a faulty voice,when choose a faulty voice,negative
5,"The application is very good, helps to practice speaking English, is fixed and instructs to pronounce carefully when you pronounce wrong","the application be very good, help to practice speak english, be fix and instructs to pronounce carefully when you pronounce wrong",positive
5,like that,like that,neutral
5,Good and good application. Customer care does not support enthusiastically. Message Mess several times without answering,good and good application. customer care do not support enthusiastically. message mess several time without answer,negative
4,"There is a problem that if you remove and then reinstall it, you cannot login it with the email used but must use another account. It seems that there is no login function, unless it is re -registered, the rest is quite good, I have just used it so I haven't detected anything else. Thank you for designing the software. Everyone's fighting","there be a problem that if you remove and then reinstall it, you cannot login it with the email use but must use another account. it seem that there be no login function, unless it be re -registered, the rest be quite good, i have just use it so i have not detect anything else. thank you for design the software. everyones fight",negative
5,It's are graet app itself helped me improvement my emglish,it be be graet app itself help me improvement my emglish,neutral
1,"The app has improved English learning, but how I have spent money to buy the app and what is the advertisement. At the end of each lesson, one advertisement. A 10 -day lesson is 10 ads. In addition, do not collect fees.","the app have improve english learning, but how i have spend money to buy the app and what be the advertisement. at the end of each lesson, one advertisement. a 10 -day lesson be 10 ads. in addition, do not collect fees.",neutral
5,This is the great app for English pronunciation but There is no downloading option in it,this be the great app for english pronunciation but there be no download option in it,negative
5,Be too,be too,neutral
3,"Something went wrong always happen, it's very uncomfortable.","something go wrong always happen, it be very uncomfortable.",negative
5,Excellent! Great way to train!,excellent! great way to train!,positive
5,I'm feeling better,i be feel good,positive
1,"Everyone let me ask! I just downloaded the app I just used a few minutes ago, I saw that it had something that packed for a year, but I didn't buy or try it for a free 7 -day trial at all, I accessed something below. Then it deducted my money","everyone let me ask! i just download the app i just use a few minute ago, i saw that it have something that pack for a year, but i do not buy or try it for a free 7 -day trial at all, i access something below. then it deduct my money",neutral
1,"I requested refund, but only I got mail an mails. Could you please provide me refund?","i request refund, but only i get mail an mails. could you please provide me refund?",negative
5,"Elsa Speak really helps me in learning English, there are modern features that can make it easier for me to learn more english. This is the best application to improve my English. This application is very useful","elsa speak really help me in learn english, there be modern feature that can make it easy for me to learn more english. this be the best application to improve my english. this application be very useful",positive
5,nc app ty,nc app ty,neutral
5,"Good app, I have improved quite a lot of pronunciation skills through the app","good app, i have improve quite a lot of pronunciation skill through the app",positive
5,this is the best app ever ' trust me you wont regret downloading it ❤️,this be the best app ever trust me you will not regret download it ❤,positive
1,very nice app i like it,very nice app i like it,positive
2,not so good,not so good,negative
5,to be honest this app can imrpove your english if you work on a daily basis keep it up guys! i highly recommend 😉,to be honest this app can imrpove your english if you work on a daily basis keep it up guys! i highly recommend 😉,positive
1,We Need Arabic,we need arabic,neutral
1,"In the past, I was very good at studying, recently making a mistake, I finished reading it, I couldn't accept it, it took a lot of time to wait, read it again and again","in the past, i be very good at studying, recently make a mistake, i finish read it, i could not accept it, it take a lot of time to wait, read it again and again",negative
5,I like her,i like her,positive
5,This Elsa Speak is very useful for mik,this elsa speak be very useful for mik,neutral
5,great 😃 👍,great 😃 👍,positive
5,Good thanks verry much this app,good thanks verry much this app,positive
2,"I do not understand what the app is, registered last year, still tried to register for the month. The member registration newspaper failed, fortunately not transferred to the wallet is not subtracted. Obviously losing money year and then registering the month by yourself ???????","i do not understand what the app is, register last year, still try to register for the month. the member registration newspaper failed, fortunately not transfer to the wallet be not subtracted. obviously lose money year and then register the month by yourself?",negative
5,Does anyone from Tung's video come here ❤,do anyone from tung video come here ❤,neutral
4,amamzing,amamzing,neutral
1,I am fluent in English and it's telling me the pronunciation is wrong 😂 😂 😂 maybe because I have a strong new Zealand accent racist app,i be fluent in english and it be tell me the pronunciation be wrong 😂 😂 😂 maybe because i have a strong new zealand accent racist app,negative
5,"A very good application for learning English, not only provides an explanation but also provides direction to correct each mistake to correct","a very good application for learn english, not only provide an explanation but also provide direction to correct each mistake to correct",positive
5,Wonderful I wish it was without fees .... because it's perfect,wonderful i wish it be without fees. because it be perfect,positive
1,Wastage of money...,wastage of money.,negative
1,Worthless app and totally west of time app Please don't use this use annoying app,worthless app and totally west of time app please do not use this use annoy app,negative
3,"The app is not standard, leading to the wrong grading. Need to improve immediately if you do not want to lose users.","the app be not standard, lead to the wrong grading. need to improve immediately if you do not want to lose users.",negative
1,nice for english speaking,nice for english speaking,positive
2,Not accent friendly,not accent friendly,negative
1,"A deceitful application does not honestly does, if the word is pronounced with any bad pronunciation, it will tell you that your voice is similar to the pronunciation of the original speakers in English, and therefore it is not useful at all","a deceitful application do not honestly does, if the word be pronounce with any bad pronunciation, it will tell you that your voice be similar to the pronunciation of the original speaker in english, and therefore it be not useful at all",negative
5,really very helpfull,really very helpfull,positive
5,Great 👍 👏 🙌 😍,great 👍 👏 🙌 😍,positive
1,I can open the next lesson !! Why ??,i can open the next lesson! why?,neutral
5,it's nice aap to learn English speaking,it be nice aap to learn english speaking,positive
5,Very good app...very helpful thankz,very good app. very helpful thankz,positive
5,My Pronunciation Can Improve,my pronunciation can improve,positive
5,I did no mistake! You Fake It! Faker! And Lied Of Having A Bad Accent! I Had A British Accent! You Stop Me To Talk When I Was Practicing! I Already Know English Very Well!,i do no mistake! you fake it! faker! and lie of have a bad accent! i have a british accent! you stop me to talk when i be practicing! i already know english very well!,negative
5,This app has changed for the best,this app have change for the best,neutral
5,Excellent app really easy to learn English,excellent app really easy to learn english,positive
4,It's good and work well,it be good and work well,positive
5,"great job, easy to use","great job, easy to use",positive
1,Yeah,yeah,neutral
2,So disappointing! I've been a native British English teacher for the last 16 years and I also do voiceovers for corporate videos. I downloaded the app to see if it would be a beneficial tool for some extra practice for my students. I've just taken the mini pronunciation test and it told me I need to improve my ending sounds and Schwa! 🤣,so disappointing! i have be a native british english teacher for the last 16 year and i also do voiceovers for corporate videos. i download the app to see if it would be a beneficial tool for some extra practice for my students. i have just take the mini pronunciation test and it tell me i need to improve my end sound and schwa! 🤣,negative
1,Read forever still not to the top,read forever still not to the top,negative
5,it app is very nice app for english speaking,it app be very nice app for english speaking,positive
3,Expensive,expensive,neutral
1,Cheat,cheat,neutral
5,It help me to speak more confident!,it help me to speak more confident!,positive
3,it's very good app to improve your speaking pronunciation,it be very good app to improve your speaking pronunciation,positive
5,very good app for speaking English ✨,very good app for speak english ✨,positive
5,Who come here cause daniel hauer videos,who come here cause daniel hauer video,neutral
5,Seriously a lot of sweet and developed from your language,seriously a lot of sweet and develop from your language,positive
5,guys this application is brilliant you'll never regret ❤ 🔥 🔥 🔥 💓thank you Elsa speak you're the perfect 😘,guy this application be brilliant you will never regret ❤ 🔥 🔥 🔥 💓thank you elsa speak you be the perfect 😘,positive
5,It is really a wonderful and marvelous application,it be really a wonderful and marvelous application,positive
5,This app really help me in my diction and pronunciation. I like it very much,this app really help me in my diction and pronunciation. i like it very much,positive
5,The app is very good mk learned with the limited version within two months and his speaking skills have improved a lot,the app be very good mk learn with the limited version within two month and his speaking skill have improve a lot,positive
4,"Very good application. But why are you free 7 days? In the free days, I have to buy lessons","very good application. but why be you free 7 days? in the free days, i have to buy lesson",neutral
5,Nice game,nice game,positive
5,This application has only two descriptions as great,this application have only two description as great,negative
3,Should add words,should add word,neutral
1,"I lost 289,000 VND due to 3 months when I had not agreed.","i lose 289, 000 vnd due to 3 month when i have not agreed.",negative
4,"My family is poor without money but this app after 7 days of trying, I have to pay","my family be poor without money but this app after 7 day of trying, i have to pay",negative
5,"Today, I can't open the app it's closed, and I couldn't continue to practice and I paid for 1 year and only used it for 4 months. What can I do?","today, i cannot open the app it be closed, and i could not continue to practice and i pay for 1 year and only use it for 4 months. what can i do?",negative
5,"I'm very grateful, i can meet with this app","i be very grateful, i can meet with this app",positive
5,Time for recording sound of pronunce word is so long. (Level 4),time for record sound of pronunce word be so long. level 4,neutral
5,This App is very fruitfull for me,this app be very fruitfull for me,neutral
5,I love it but I don't want to pay. that's all.,i love it but i do not want to pay. that be all.,neutral
5,Mst hai aur kya Chaiya,mst hai aur kya chaiya,neutral
5,This app is very good for me,this app be very good for me,positive
5,Hope you add more vocab,hope you add more vocab,neutral
5,Awesome app to improve pronounciation.,awesome app to improve pronounciation.,positive
1,"Starting with the third lesson, it doesn't work. I always sound like a native, even if I speak Russian instead English. Unsubscribed","start with the third lesson, it do not work. i always sound like a native, even if i speak russian instead english. unsubscribed",negative
4,"I'm barely using it, I see it's a good app","i be barely use it, i see it be a good app",neutral
4,I download the app after of Sascha Stevenson review it. Lemme try.,i download the app after of sascha stevenson review it. let me try.,neutral
4,this app is so helpful for English learner,this app be so helpful for english learner,positive
1,It has to be a way to control trial apps on Google playstore.,it have to be a way to control trial apps on google playstore.,neutral
5,nce,nce,neutral
5,"It's a great one, but I'm having trouble, as in it gives me the message ""failed to download content"" .. please help","it be a great one, but i be have trouble, as in it give me the message ""failed to download content"". please help",negative
4,"Good app, but the instructions and analysis when reading and adjusting without Vietnamese language is a bit difficult to understand","good app, but the instruction and analysis when reading and adjust without vietnamese language be a bit difficult to understand",negative
5,Difficult to find lessons,difficult to find lesson,negative
1,Pathetic app,pathetic app,negative
1,"app needs update now , delay , can't record, bla bla","app need update now, delay, cannot record, bla bla",negative
5,Good and wonderful application,good and wonderful application,positive
5,It is a good platform for communication,it be a good platform for communication,positive
3,This app does not support my native language Malayalam. So I cannot start using it.,this app do not support my native language malayalam. so i cannot start use it.,negative
4,easy how to learn english,easy how to learn english,neutral
3,Subscribe to my YouTube channel,subscribe to my youtube channel,neutral
2,"There are many versions that have no Indonesian translation anymore in each lesson, can't know the meaning of the word apart from the English itself and can't correct the words that are wrongly disappointed","there be many version that have no indonesian translation anymore in each lesson, cannot know the meaning of the word apart from the english itself and cannot correct the word that be wrongly disappointed",negative
5,Excellent app for newbies in english.,excellent app for newbie in english.,positive
5,In this there are many good vocabulary ^ ^,in this there be many good vocabulary,positive
5,Thank you! My pronunciation has become better since I used Elsa! :),thank you! my pronunciation have become well since i use elsa!,positive
2,"It has lots of lags, every 5 minutes it stops working and hangs and I have to close and reopen it!","it have lot of lags, every 5 minute it stop work and hang and i have to close and reopen it!",negative
5,Crispy but there are some words of Binh Duong slightly fluid :),crispy but there be some word of binh duong slightly fluid,neutral
3,I wish that I can still practice english for free. And that there's a premium account for anyone who can pay. Limited lessons for us who don't pay is just fine.,i wish that i can still practice english for free. and that there be a premium account for anyone who can pay. limited lesson for u who do not pay be just fine.,neutral
3,"I could not read it forever, until I read it, I couldn't hear it clearly. Hope Elsa fixes.","i could not read it forever, until i read it, i could not hear it clearly. hope elsa fixes.",negative
4,"if it was free, I would give it five stars","if it be free, i would give it five star",positive
5,this most always prefect,this most always prefect,positive
5,No words can explain,no word can explain,negative
4,"There are many pronunciations that are very strange, eg like a sound reader, but I also connect the sound, it is wrong, many words like the reader is not right, I have to read according to phonetic transcription, with a lot of tail error. But good, should buy the pro version to study, calculate the day only 2-3k for 1 year fee","there be many pronunciation that be very strange, eg like a sound reader, but i also connect the sound, it be wrong, many word like the reader be not right, i have to read accord to phonetic transcription, with a lot of tail error. but good, should buy the pro version to study, calculate the day only 2-3k for 1 year fee",negative
5,Awesome app for English learning,awesome app for english learning,positive
5,It hels me a lot,it hels me a lot,negative
3,"Hello Elsa Team Today,the app does not calculate the score after one lesson.plz reply me how can I fix it.","hello elsa team today, the app do not calculate the score after one lesson. plz reply me how can i fix it.",negative
5,I haven't seen it but thanks for sharing,i have not see it but thanks for share,neutral
1,this is very bad experience,this be very bad experience,negative
5,"Nice app, there a lot to learn","nice app, there a lot to learn",positive
4,"I've bought a pro package that a year why the account is still free huh? my balance is cut when I want to try to pay again but still error, please help","i have buy a pro package that a year why the account be still free huh? my balance be cut when i want to try to pay again but still error, please help",negative
5,it's a brilliant brilliant speaking app I am a student but my English like a native speaker and my school teachers my parents call me your English is brilliant,it be a brilliant brilliant speaking app i be a student but my english like a native speaker and my school teacher my parent call me your english be brilliant,positive
5,I Love this. 💟,i love this. 💟,positive
4,"Study very well, but there is nowhere to enter the Elsa Pro gift code","study very well, but there be nowhere to enter the elsa pro gift code",negative
5,"Actually this application tricked me or what, I hope Elsa can adjust me. I just lost all the money. I don't understand how, but since I bought this application, I couldn't see it at all. Hope you help me and review the application. I still mark 5 stars so that you can support you 👍 👍 I really like this application but now it is normal","actually this application trick me or what, i hope elsa can adjust me. i just lose all the money. i do not understand how, but since i buy this application, i could not see it at all. hope you help me and review the application. i still mark 5 star so that you can support you 👍 👍 i really like this application but now it be normal",negative
1,"Read all the green sentences that 79% are unacceptable or scratch to read and shoot into the screen without identification, too heartless. Too tired mouth","read all the green sentence that 79% be unacceptable or scratch to read and shoot into the screen without identification, too heartless. too tired mouth",negative
4,"I like this app, I think about should improve the voice reception","i like this app, i think about should improve the voice reception",positive
5,Really useful application,really useful application,positive
2,"The recent update has an error: The records are over 90 %, but after the end of the Lesson, the total score is less than 90 %, does ELSA's average operate have problems?","the recent update have an error the record be over 90 %, but after the end of the lesson, the total score be less than 90 %, do elsas average operate have problems?",negative
3,"This app only has American accent. So, if you wish to learn other accents, this app might not suit you.","this app only have american accent. so, if you wish to learn other accents, this app might not suit you.",negative
5,Very good help full 🙂,very good help full 🙂,positive
4,"Actually, I don't understand why Elsa loaded the network very slowly. While my network is very strong. Every time you learn to wait for the recording, it takes a lot of time. I only planned to study 15 20 minutes per day, the slow loading amount spent double time. Generally not satisfied.","actually, i do not understand why elsa load the network very slowly. while my network be very strong. every time you learn to wait for the recording, it take a lot of time. i only plan to study 15 20 minute per day, the slow loading amount spend double time. generally not satisfied.",negative
5,Very good application to learn English! A bit proud of Elsa :),very good application to learn english! a bit proud of elsa,positive
5,very usefull,very usefull,neutral
2,not good,not good,negative
1,"The app is very bad. I registered to try it out now, I don't see any place to cancel.","the app be very bad. i register to try it out now, i do not see any place to cancel.",negative
4,"Good, but some evident UI bugs looks not good. It is imposible to launch feedback button in conversation task button because its covered by result number","good, but some evident ui bug look not good. it be imposible to launch feedback button in conversation task button because it be cover by result number",negative
3,Download for mother to learn not useful but also temporarily,download for mother to learn not useful but also temporarily,negative
1,"Failed to download lession, all times, I'm using android phone","fail to download lession, all times, i be use android phone",negative
5,The best app on planet ever,the best app on planet ever,positive
5,Download faster is ok r,download faster be ok r,neutral
2,It is really awesome application...and it helps of those candidates who prepares for the IELTS exam,it be really awesome application. and it help of those candidate who prepare for the ielts exam,positive
3,"It's not funny to rattle at all! I don't know what else to tell you! Say thank you for the 3 stars! In general, I am from America and decided to try this application because I moved from Russia to America. So when it was necessary to voice the text I revoiced it for 4 hours and my American friend also tried, he also did not succeed. Please fix it already! I'm going to miss it!","it be not funny to rattle at all! i do not know what else to tell you! say thank you for the 3 stars! in general, i be from america and decide to try this application because i move from russia to america. so when it be necessary to voice the text i revoiced it for 4 hour and my american friend also tried, he also do not succeed. please fix it already! i be go to miss it!",negative
4,"the app is good but I face some difficulties in the loading, it took a lot of time to move the next tap or lessions more than 10 min even with good internet connection","the app be good but i face some difficulty in the loading, it take a lot of time to move the next tap or lessions more than 10 min even with good internet connection",negative
1,"Why do I a need an app that I have the pro version but every time that I open it say that I don't have the pro version. And when I click to restore the subscription its says that occurred a problem. Today did 5 days that way. So, if you are asking yourself if you should get a subscription, don't do that.","why do i a need an app that i have the pro version but every time that i open it say that i do not have the pro version. and when i click to restore the subscription it be say that occur a problem. today do 5 day that way. so, if you be ask yourself if you should get a subscription, do not do that.",negative
5,help full app in learning English,help full app in learn english,neutral
5,it good I like it but maybe it can gives more test to freebies,it good i like it but maybe it can give more test to freebie,positive
2,"I have been using Elsa for almost a year. It was fantastic at first, but I'm not sure why its sensitivity to hearing my voice decreased. I am hoping it can be fixed soon. Thank you.","i have be use elsa for almost a year. it be fantastic at first, but i be not sure why it be sensitivity to hear my voice decreased. i be hop it can be fix soon. thank you.",neutral
1,"Good idea, but teaches English with some rural American accent. If you want people to perceive you as stupid, it's probably fine.","good idea, but teach english with some rural american accent. if you want people to perceive you as stupid, it be probably fine.",negative
5,"English software is very good and rewarding, thanks to this software, my English level has improved a lot, this is probably a very good software for those who want to learn English, maybe. Saying this is the best pronunciation software ever, thanks to it, our English level improves very quickly, the software for us to know where we are wrong from that way we can improve it, correct the pronunciation error.","english software be very good and rewarding, thanks to this software, my english level have improve a lot, this be probably a very good software for those who want to learn english, maybe. say this be the best pronunciation software ever, thanks to it, our english level improve very quickly, the software for u to know where we be wrong from that way we can improve it, correct the pronunciation error.",positive
3,"Why do you arbitrarily deduct a 1 -year package without authentication, you are alerted when registering for free after 7 days will automatically renew without authenticating your account.","why do you arbitrarily deduct a 1 -year package without authentication, you be alert when register for free after 7 day will automatically renew without authenticate your account.",negative
5,"Or through all the grapes, the hauer has come here","or through all the grapes, the hauer have come here",neutral
3,"I downgrade my review, because ELSA speak support doesn't help me. A big bug occurred when I try to download any lesson in my Huawei P8. When I send the report via email, the app didn't generate the zip file that Elsa is asking for. I think is a great app, but the only way that I can use it is with my father's phone. I want to use it with MY PHONE. If you real solve this problem I absolutely change my review to 5 stars.","i downgrade my review, because elsa speak support do not help me. a big bug occur when i try to download any lesson in my huawei p8. when i send the report via email, the app do not generate the zip file that elsa be ask for. i think be a great app, but the only way that i can use it be with my father phone. i want to use it with my phone. if you real solve this problem i absolutely change my review to 5 stars.",negative
2,Often freeze when show 'Checking Update' notification,often freeze when show check update notification,neutral
5,too expensive but not much for improvement,too expensive but not much for improvement,negative
1,Totally disgusting,totally disgust,negative
5,Everyone who want to improve their English should try.,everyone who want to improve their english should try.,neutral
2,only 5 times a day with out money 😔,only 5 time a day with out money 😔,negative
1,"Why is there not the Arabic language, is it not important?","why be there not the arabic language, be it not important?",negative
4,great app! i just miss a suitable vocab training.,great app! i just miss a suitable vocab training.,positive
3,The program is very sweet,the program be very sweet,positive
